Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
Prevalence of Trichomonas vaginalis infection and protozoan load in South African women: a cross-sectional study.,de Waaij DJ.; Dubbink JH.; Ouburg S.; Peters RPH.; Morré SA.,"Trichomonas vaginalis is thought to be the most common non-viral sexually transmitted infection worldwide. We investigated the prevalence, risk factors and protozoan load of T. vaginalis infection in South African women. A cross-sectional study of 604 women was conducted at 25 primary healthcare facilities in rural South Africa (Mopani district). T. vaginalis DNA was detected in vaginal and rectal swabs. In univariate and multivariate analyses, the T. vaginalis infection was investigated in relation to demographic characteristics, medical history and behavioural factors. The T. vaginalis load was determined as the logarithm of DNA copies per microlitre sample solution. Collected vaginal and rectal swabs were tested for T. vaginalis DNA. Prevalence of vaginal T. vaginalis was 20% (95% CI 17.0% to 23.4%) and rectal 1.2% (95% CI 0.6% to 2.4%). Most women (66%) with a vaginal infection were asymptomatic. Factors associated with T. vaginalis infection were a relationship status of single (OR 2.4; 95% CI 1.5 to 4.0; p<0.001) and HIV positive infection (OR 1.6; 95% CI 1.0 to 2.6; p=0.041). Women with vaginal T. vaginalis infection were more likely to have concurrent Chlamydia trachomatis rectal infection than those without vaginal infection (12%vs3%; p<0.001; OR 4.1). A higher median T. vaginalis load was observed among women with observed vaginal discharge compared with those without vaginal discharge (p=0.025). Vaginal trichomoniasis is highly prevalent in rural South Africa, especially among single women and those with HIV infection, and often presents without symptoms.",2017,Oct,BMJ open,7,10,e016959,,10.1136/bmjopen-2017-016959,28993385,#1807,deWaaij 2017,"",""
Are there acceptable alternatives to syndromic management for the diagnosis of sexually transmitted infections in HIV positive kenyan women?,Woo V.; Cohen C.R.; Bukusi E.A.; Huchko M.J.,"Background: Control of sexually transmitting infections (STIs) is an important aspect of HIV prevention and care. Syndromic management for vaginal discharge, despite a recognised low sensitivity and specificity, is widely employed for STI management among HIV-1 infected women in resource-limited settings. In this pilot study, we evaluated the incremental increase in sensitivity and specificity of multiple, low-cost diagnostic strategies for non-ulcerative STIs diagnosed among HIV-1 infected women receiving care in Kenya. Methods: This cross-sectional study was done among a cohort of HIV-1 infected women enrolled at Family AIDS and Care and Treatment Services (FACES) clinics in Kisumu, Kenya. During their routine clinic visit, participants reported any health complaint and later were asked about general vaginal symptoms (brief symptom ascertainment) and specific complaints of pruritis, odour and discharge (detailed symptom ascertainment). Clients were then examined for cervicitis and vaginal discharge, followed by specimen collection for STI testing. Results: of Chlamydia trachomatis and Neisseria gonorrhoeae nucleic acid amplification test and Trichomonas vaginalis (TV) by wet mount was used as the gold standard for sensitivity and specificity calculations. Results: Of the 155 women who were screened between the ages of 23-53 years, the prevalence of N gonorrhoeae was 1.9% (3/155), TV was 6.4% (10/155) and no cases of C trachomatis were detected. See Abstract P3-S1.08 table 1. Conclusions: Syndromic management had a very poor sensitivity for detecting STIs in HIV-1 infected women. The addition of specific questions about STI-related symptoms improved STI detection rates, while a speculum exam led to greater sensitivity and specificity. The feasibility and effectiveness of alternative approaches such (Table presented) as routine use of speculum exams, and point-of-care testing for T vaginalis should be explored to improve the management of STIs among HIV-1 infected women in similar low-resource settings.",2011,,Sexually Transmitted Infections,87,"(Bukusi E.A.) Kenya Medical Research Institute, Nairobi, Kenya",A269,,10.1136/sextrans-2011-050108.408,,#3669,Woo 2011,"",""
"Microbicides development program, Tanzania-baseline characteristics of an occupational cohort and reattendance at 3 months.",Vallely A.; Kasindi S.; Hambleton IR.; Knight L.; Chirwa T.; Balira R.; Changalucha J.; Watson-Jones D.; Everett D.; Gavyole A.; Moyes J.; Pujades-Rodríguez M.; Ross DA.; Hayes RJ.,"To determine baseline characteristics of an occupational cohort of women in Mwanza City, Tanzania, and factors associated with reattendance at 3 months, in preparation for a microbicide trial. One thousand five hundred seventy-three women aged 16-54 years working in food outlets and recreational facilities were enrolled, interviewed, and examined at community-based reproductive health clinics, provided specimens for HIV/STI and pregnancy testing, and attended 3 monthly clinical follow-up. Baseline prevalence of HIV was 25.5%; pregnancy 9.7%; herpes simplex virus type-2 74.6%; active syphilis 10.2%, bacterial vaginosis 52.6%; gonorrhea 5.5%; chlamydia 5.9%; and trichomoniasis 12.3%. Reattendance at 3 months was 74.1% and was higher in older women, less mobile women, and in those who received an HIV-negative result at enrollment. Baseline characteristics of this occupational group suggest their suitability for microbicide trials. A screening round, locally appropriate informed consent procedures, and effective community tracing may help reduce losses to follow-up in such settings.",2007,Sep,Sexually transmitted diseases,34,9,638-43,,10.1097/OLQ.0b013e3180325120,17717482,#1027,Vallely 2007,"",""
Pattern of Sexually Transmitted Infections in Human Immunodeficiency Virus Positive Women Attending Antenatal Clinics in North-Central Nigeria,"Adesina, Kike T.; Ijaiya, Munirdeen A.; Isiaka-Lawal, Salamat A.; Jimoh, Abdulgafar A.; Nwabuisi, Charles Olurotimi Fakeye Saidu Rakiya; Omokanye, Lukman O.",Background: Sexually transmitted infections (STIs) are prevalent during pregnancy and may have adverse sequalae in both mother and fetus. Interactions between these infections and human immunodeficiency virus (HIV) synergize and may cause adverse pregnancy outcomes and reverse the gains of prevention of mother to child transmission of HIV. Objectives: The objective of this study is to determine the prevalence of candidiasis; trichomoniasis; gonococcal infection; syphilis; and bacterial vaginosis in HIV pregnant women and compare with HIV negative controls. Materials and Methods: A case-control study was conducted during the period from April to December 2010 at the Department of Obstetrics/Gynecology of University of Ilorin Teaching Hospital and three Primary Health Centers in Ilorin. A total of 160 HIV positive pregnant women attending antenatal clinics were recruited; along with the same number of HIV negative matched controls. A structured proforma was used to collect information from patients; vaginal examination was performed and samples were taken from the endocervix and the posterior vaginal fornix with swab sticks. Results: STIs were recovered from 142 women; giving overall prevalence of 44.4. HIV infected women had a higher prevalence (60) compared to uninfected (28.8). The most prevalent STI was vaginal candidiasis (29.1); followed by bacterial vaginosis (9.7); and trichomoniasis (5.6). The prevalence of candidiasis; bacterial vaginosis; and trichomoniasis was higher among HIV positive pregnant women compared to HIV negative controls (P 0.05). No woman had syphilis or gonorrhea. Conclusion: The prevalence of candidiasis; bacterial vaginosis and trichomoniasis was higher in HIV infected pregnant women compared to uninfected. Routine screening of HIV infected pregnant women for these organisms is advocated.,2014,2014/00,Sahel Medical Journal,,,,,,,#7433,Adesina 2014,"",""
Prevalence and correlates of mycoplasma genitalium in HIV-positive African women,Sawadogo B.; Muzah B.; Gilham C.; Djigma F.; Maseko V.; Kelly H.; Simpore J.; Lewis D.; Segondy M.; Mayaud P.,"Background: To assess the prevalence of Mycoplasma genitalium (MG) among HIV-positive African women and its associations with cervical infections and disease, other STI signs and CD4+ counts. Methods: The HARP study aims to evaluate cervical cancer screening tests among HIV-positive women aged 25-50 in Burkina Faso (BF) and South Africa (SA). In addition, real time PCR assays were used to detect Neisseria gonorrhoeae (NG), Chlamydia trachomatis (CT), Trichomonas Vaginalis (TV), and MG, using Sacace RT-PCRs in BF, and multiplex PCR followed by confirmatory APTIMA® assays for NG/CT and Sacace RT-PCR for TV/MG in SA. HPV genotyping was performed using Digene® HC2 assay. Results: 628 women were enrolled in BF and 624 in SA, two-thirds of whom were on antiretroviral therapy. The distribution of CD4+ count (cells/μL) was similar in both sites: 68% with CD4+ = 350 and 10% with CD4+ < 200. Prevalence of MG was similar in both populations: 7.1% in BF (41/575) and 7.6% (47/622) in SA, and, overall, 6.7%, 8.2% and 10.1% among women with CD4+ = 350, 200-349 and < 200, respectively (Table). MG was detected in 8.2% of high-risk (HR)-HPV-positive women vs. 3.9% of women without HR-HPV (P = 0.005), and in 7.7% of women with low-grade cervical intraepithelial lesions (LSIL), and 10.0% of women with high-grade lesions (HSIL+) and above vs. 6.2% in women without lesions (P-trend = 0.095). Co-infection with NG, CT, TV and BV was observed in 0%, 11.4%, 11.4% and 9.0% respectively. In multivariate analysis (Table), MG correlated negatively with age (P-trend = 0.003) and clinical PID (aOR = 0.29, P = 0.05), and positively with T Vaginalis (aOR = 1.7, P = 0.06) but not with any other particular STI infection or syndrome; and tended to increase with decreasing CD4+ count (P = 0.13). Conclusions: MG prevalence is relatively high among these HIV-positive African women and is associated with younger age, trichomoniasis and marginally with CD4. Table. Multivariate analysis showing factors originally associated in univariate analysis with Mycoplasma genitalium in Burkina Faso and South Africa.",2013,,Sexually Transmitted Infections,89,"(Segondy M.) University of Montpellier 1, INSERM U1058, Montpellier, France",,,10.1136/sextrans-2013-051184.0686,,#3799,Sawadogo 2013,"",""
"Trichomonas Vaginalis detection and characterization from women attending an anti-retroviral clinic in Pretoria, South Africa",Rukasha I.; Ehlers M.M.; Kock M.M.,"Background: Trichomoniasis caused by Trichomonas Vaginalis affects both men and women, although the clinical presentation differs. Infected women are more likely to have symptoms compared to infected men. Approximately 75% to 100% of men are asymptomatic in comparison to approximately 50% to 75% of women who are identified as asymptomatic. In South Africa, data on the prevalence and detection of T. Vaginalis is well-documented; however, data on the molecular characterization of T. Vaginalis is limited. The study aimed to detect and characterise T. Vaginalis isolates from HIV positive women attending an anti-retroviral clinic. Methods: Self-collected vaginal swabs from 380 HIV positive women were included in the study. Trichomonas Vaginalis was detected using wet mount microscopy, culture and a commercial PCR kit. The genetic relatedness of 92 culture positive T. Vaginalis isolates was determined. Five primers (TV1, TV2, TV3, TV5 and TV6) were used for the RAPD assay. The PCR-IGS-RFLP products were digested with five enzymes, namely: AluI, HinfI, RsaI, Sau3AI and Tsp509. Results: A total of 8% (30/380) of specimens were positive for T. Vaginalis using microscopy, 24% (92/380) of specimens were positive using culture and 31% (118/380) of the specimens were positive using the commercial PCR kit. RAPD assay analysis showed a high level of genetic diversity between the T. Vaginalis isolates. The dendrogrammes obtained from the RAPD data grouped the 92 T. Vaginalis isolates into between nine to 24 clusters with 70% similarity used to define clusters, while the PCR-IGS RFLP assay results for the isolates were genetically indistinguishable. Conclusion: The PCR assay was the most sensitive diagnostic tool for the detection of T. Vaginalis. A high prevalence of T. Vaginalis, consisting of different strain types, was detected in the HIV positive women included in the study.",2013,,Sexually Transmitted Infections,89,"(Ehlers M.M.; Kock M.M.) National Health Laboratory Service, Pretoria, South Africa",,,10.1136/sextrans-2013-051184.0245,,#3788,Rukasha 2013,"",""
"Screening for human papillomavirus, cervical cytological abnormalities and associated risk factors in HIV-positive and HIV-negative women in Rwanda.",Mukanyangezi MF.; Sengpiel V.; Manzi O.; Tobin G.; Rulisa S.; Bienvenu E.; Giglio D.,"Cervical cancer is the major cause of death from cancer in Africa. We wanted to assess the prevalence of human papillomavirus (HPV) infections and associated risk factors and to determine whether HPV testing could serve as a screening method for squamous intraepithelial lesions (SILs) in Rwanda. We also wanted to obtain a broader understanding of the underlying risk factors for the establishment of HPV infection in Rwanda. A total of 206 HIV-positive women, 172 HIV-negative women and 22 women with unknown HIV status were recruited at the University Teaching Hospitals of Kigali (UTHK) and of Butare (UTHB) in Rwanda. Participants underwent an interview, cervical sampling for a Thinprep Pap test and a screening test analysing 37 HPV strains. Only 27% of HIV-positive women and 7% of HIV-negative women had been screened for cervical cancer before. HPV16 and HPV52 were the most common HPV strains. HIV-positive women were more commonly infected with high-risk (HR) HPV and multitype HPV than HIV-negative women. The sensitivity was 78% and the specificity 87% to detect high-grade SIL (HSIL) with HPV screening. Among HIV-negative women, being divorced was positively associated with HR-HPV infection, while hepatitis B, Trichomonas vaginalis infection and HR-HPV infection were factors positively associated with SILs. Ever having had gonorrhoea was positively associated with HR-HPV infection among HIV-positive women. HR-HPV infection and the number of live births were positively associated with SILs. The currently used quadrivalent vaccine may be insufficient to give satisfactory HPV coverage in Rwanda. HPV Screening may be effective to identify women at risk of developing cervical cancer, particularly if provided to high-risk patients.",2018,02,HIV medicine,19,2,152-166,,10.1111/hiv.12564,29210158,#1947,Mukanyangezi 2018,"",""
Prevalence and risk factors of sexually transmitted infections and cervical neoplasia in women from a rural area of southern Mozambique.,Menéndez C.; Castellsagué X.; Renom M.; Sacarlal J.; Quintó L.; Lloveras B.; Klaustermeier J.; Kornegay JR.; Sigauque B.; Bosch FX.; Alonso PL.,"There is limited information on the prevalence of sexually transmitted infections and the prevalence of cervical neoplasia in rural sub-Saharan Africa. This study describes the prevalence and the etiology of STIs and the prevalence of cervical neoplasia among women in southern Mozambique. An age-stratified cross-sectional study was performed where 262 women aged 14 to 61 years were recruited at the antenatal clinic (59%), the family-planning clinic (7%), and from the community (34%). At least one active STI was diagnosed in 79% of women. Trichomonas vaginalis was present in 31% of all study participants. The prevalence of Neisseria gonorrhea and Chlamydia trachomatis were 14% and 8%, respectively, and Syphilis was diagnosed in 12% of women. HPV DNA was detected in 40% of women and cervical neoplasia was diagnosed in 12% of all women. Risk factors associated with the presence of some of the STIs were being divorced or widowed, having more than one sexual partner and having the partner living in another area. A higher prevalence was observed in the reproductive age group and some of the STIs were more frequently diagnosed in pregnant women. STI control programs are a priority to reduce the STIs burden, including HIV and cervical neoplasia.",2010,,Infectious diseases in obstetrics and gynecology,2010,,,,10.1155/2010/609315,20706691,#1721,Menéndez 2010,"",""
Diagnosis of sexually transmitted infections and bacterial vaginosis among HIV-1-infected pregnant women in Nairobi,Marx G.; John-Stewart G.; Bosire R.; Wamalwa D.; Otieno P.; Farquhar C.,"HIV-infected women with sexually transmitted infections (STIs) or bacterial vaginosis (BV) during pregnancy are at increased risk for poor obstetric outcomes. In resource-limited settings, diagnostic testing for STIs and BV is often not available and most pregnant women are managed using syndromic algorithms. As part of a Nairobi perinatal cohort, HIV-1-infected pregnant women were interviewed and samples were collected for STIs and BV testing. Diagnostic accuracy of STIs and BV by syndromic algorithms was evaluated with comparison to the reference standard. Among 441 women, prevalence of BV was 37%, trichomoniasis 16%, chlamydia 4%, syphilis 3% and gonorrhoea 2%. Significantly more women with STIs were aged 21-years-old, had not attended secondary school and had a history of STIs. Syndromic diagnosis of STIs and BV demonstrated a sensitivity of 45% and 57%, and positive predictive value of 30% and 42%, respectively. Among these HIV-infected, pregnant women, STIs and vaginal infections were common and syndromic diagnosis was insensitive, resulting in missed opportunities to intervene and improve infant and maternal health.",2010,,International Journal of STD and AIDS,21,8,549-552,,10.1258/ijsa.2010.010005,,#2837,Marx 2010,"",""
"Screenings for Chlamydia trachomatis antigen among HIV and non-HIV patients with symptoms of urogenital tract diseases at the Federal Medical Centre Gombe, Nigeria",Charanchi S.M.; Tahir F.,"C. trachomatis a sexually transmitted bacterial pathogen and the leading cause of bacterial sexually transmitted diseases (STDs) world wide can lead to serious complications in women and infants with untreated infections. Symptoms are normally unspecific, as such rapid screening tests with high specificity, though not confirmatory are highly valuable in converting its menace as large number of patients at high risk can be screened within a short period with ease in sample collection and patient management at very low cost. Three hundred urogenital swab samples; including 93 urethral swabs and 207 endocervical swabs were aseptically collected from patients with symptoms of urogenital tract diseases attending federal medical centre Gombe from January to March, 2010. Among them were 33 HIV patients and 267 non-HIV patients. All the swabs were subjected to Chlamydia antigen screening using Nova® One-Step Chlamydia trachomatis rapid immunochromatography antigen screening testing kits. In general, 11(3.7%) patients were found positive in this study. In the non-HIV patients, 2.6% were positive, with highest frequency of 3.1% recorded at the age group 21-30years. However in the HIV-patients, 12.1% were positive, with the highest frequency of 18.2% recorded at the age group 31-40years. The findings from this work has stressed the importance of rapid screening as a presumptive technique and call for use of more reliable confirmatory testing procedures in the prevention of pelvic inflammatory disease (PID), cervical carcinoma and other STDs. We also call for establishing a relationship between Chlamydia trachomatis and HIV infection in the locality. © Internet Scientific Publications, LLC., 1996 - 2013.",2011,,Internet Journal of Infectious Diseases,10,1,4,,10.5580/2c08,,#3462,Charanchi 2011,"",""
A cross-sectional analysis of Trichomonas vaginalis infection among heterosexual HIV-1 serodiscordant African couples,"Bochner, A. F.; Baeten, J. M.; Rustagi, A. S.; Nakku-Joloba, E.; Lingappa, J. R.; Mugo, N. R.; Bukusi, E. A.; Kapiga, S.; Delany-Moretlwe, S.; Celum, C.; Barnabas, R. V.; Partners, Prevention; Partners Pr, E. P. Study Team","Objectives Trichomonas vaginalis is the most prevalent curable STI worldwide and has been associated with adverse health outcomes and increased HIV-1 transmission risk. We conducted a cross-sectional analysis among couples to assess how characteristics of both individuals in sexual partnerships are associated with the prevalence of male and female T. vaginalis infection. Methods African HIV-1 serodiscordant heterosexual couples were concurrently tested for trichomoniasis at enrolment into two clinical trials. T. vaginalis testing was by nucleic acid amplification or culture methods. Using Poisson regression with robust standard errors, we identified characteristics associated with trichomoniasis. Results Among 7531 couples tested for trichomoniasis, 981 (13%) couples contained at least one infected partner. The prevalence was 11% (n=857) among women and 4% (n=319) among men, and most infected individuals did not experience signs or symptoms of T. vaginalis. Exploring concordance of T. vaginalis status within sexual partnerships, we observed that 61% (195/319) of T. vaginalis-positive men and 23% (195/857) of T. vaginalis-positive women had a concurrently infected partner. In multivariable analysis, having a T. vaginalis-positive partner was the strongest predictor of infection for women (relative risk (RR) 4.70, 95% CI 4.10 to 5.38) and men (RR 10.09, 95% CI 7.92 to 12.85). For women, having outside sex partners, gonorrhoea, and intermediate or high Nugent scores for bacterial vaginosis were associated with increased risk of trichomoniasis, whereas age 45 years and above, being married, having children and injectable contraceptive use were associated with reduced trichomoniasis risk. Additionally, women whose male partners were circumcised, had more education or earned income had lower risk of trichomoniasis. Conclusions We found that within African HIV-1 serodiscordant heterosexual couples, the prevalence of trichomoniasis was high among partners of T. vaginalis-infected individuals, suggesting that partner services could play an important role identifying additional cases and preventing reinfection. Our results also suggest that male circumcision may reduce the risk of male-to-female T. vaginalis transmission.",2017,Nov,Sex Transm Infect,93,7,520-+,WOS:000413493800022,10.1136/sextrans-2016-053034,,#7060,Bochner 2017,"",""
Aetiological agents of vaginitis in Nigerian women,Otuonye N.M.; Odunukwe N.N.; Idigbe E.O.; Imosemi O.D.; Smith S.I.; Chigbo R.C.; Bamidele M.; Oparaugo C.T.; Mafe A.G.; Musa A.Z.,"This study focuses on the identification of aetiological agents of vaginitis in Nigerian women. Study subjects are drawn from patients presenting with lower abdominal pain, vaginal discharge and itching at the gynaecology clinic of Lagos University Teaching Hospital and at the Clinical Centre of the Nigerian Institute of Medical Research, Yaba, Lagos, between January 2001 and July 2002. A total of 250 patients gave informed consent to participate in the study. The patients also had pre- and post-test human immunodeficiency virus (HIV) counselling. Each patient completed a questionnaire in order to provide biographical data, past clinical history and socio-economic background information. A cervical swab (CS) and a high-vaginal swab (HVS) were obtained from each patient. Swab samples were examined for pH and under light microscopy by Gram's stain and as wet preparations in 10% potassium hydroxide. Subsequently, samples were cultured on appropriate media at optimal conditions and a drug sensitivity profile for all isolates was determined by standard methods. Blood samples were screened and confirmed for HIV antibodies. Bacterial, fungal and parasitic pathogens were identified or isolated in samples from 241 (96.4%) of the women. Bacterial agents (Neisseria, Streptococcus and Staphylococcus species) were predominant in 128 (51.2%) patients, followed by fungi in 108 (43.2%) and parasites (Trichomonas vaginalis) in five (2.0%). Sensitivity to ciprofloxacin was seen in 40% of Staphylococcus species and in 90% of Neisseria species. Positive HIV serology was seen in 25 (10%) of the 250 women studied, 20 (80%) of which had concurrent microbial infections. Overall, a broad spectrum of microbial agents were shown to be responsible for vaginitis in the group of patients studied.",2004,,British Journal of Biomedical Science,61,4,175-178,,10.1080/09674845.2004.11732666,,#2416,Otuonye 2004,"",""
Gynaecological morbidity among HIV positive pregnant women in Cameroon,Mbu E.R.; Kongnyuy E.J.; Mbopi-Keou F.X.; Tonye R.N.; Nana P.N.; Leke R.J.I.,"Objective. To compare the prevalence of gynaecological conditions among HIV infected and non-infected pregnant women. Methods. Two thousand and eight (2008) pregnant women were screened for HIV, lower genital tract infections and lower genital tract neoplasia at booking antenatal visit. Results. About 10% (198/2008) were HIV positive. All lower genital tract infections except candidiasis were more prevalent among HIV positive compared to HIV negative women: vaginal candidiasis (36.9% vs 35.4%; p = 0.678), Trichomoniasis (21.2% vs 10.6%; p < 0.001), gonorrhoea (10.1% vs 2.5%; p < 0.001), bacterial vaginosis (21.2% vs 15.2%; p = 0.026), syphilis (35.9% vs 10.6%; p < 0.001), and Chlamydia trachomatis (38.4% vs 7.1%; p < 0.001). Similarly, HIV positive women more likely to have preinvasive cervical lesions: low-grade squamous intraepithelial lesion (SIL) (18.2% vs 4.4%; p < 0.001) and high-grade squamous intraepithelial lesion (12.1% vs 1.5%; p < 0.001). Conclusion. We conclude that (i) sexually transmitted infections (STIs) are common in both HIV positive and HIV negative pregnant women in Cameroon, and (ii) STIs and preinvasive cervical lesions are more prevalent in HIV-infected pregnant women compared to their non-infected compatriots. We recommend routine screening and treatment of STIs during antenatal care in Cameroon and other countries with similar social profiles. © 2008 Mbu et al; licensee BioMed Central Ltd.",2008,,Reproductive Health,5,1,,,10.1186/1742-4755-5-3,,#2710,Mbu 2008,"",""
Antiretroviral Therapy Initiation Is Not Associated With Risky Sexual Behavior Among Heterosexual Human Immunodeficiency Virus-Infected Persons in Serodiscordant Partnerships.,Mujugira A.; Celum C.; Ngure K.; Thomas KK.; Katabira E.; Baeten JM.;  .,"Few prospective studies have assessed whether antiretroviral therapy (ART) use is associated with changes in sexual risk behavior of human immunodeficiency virus (HIV)-infected persons in known HIV-serodiscordant partnerships. We conducted a longitudinal analysis of HIV-infected persons with known uninfected partners enrolled in the Partners Pre-Exposure Prophylaxis Study in Kenya and Uganda. Antiretroviral therapy use and self-reported sexual behavior were ascertained every 3 months. We assessed the effect of ART on sexual risk behaviors using zero-inflated negative binomial regression. Primary outcomes were condomless vaginal sex acts, pregnancy incidence and new sexually transmitted infection diagnoses. We followed 1817 HIV-infected persons (58% women) for 864 person-years before ART initiation and 771 person-years after ART. Median CD4 and plasma viral load at ART initiation were 277 cells/μL and 4.18 log10 copies/mL. Antiretroviral therapy use was associated with a significant decrease in condomless vaginal sex acts with HIV-uninfected partners (0.65 vs 0.39 per month; rate ratio, 0.64; 95% confidence interval [CI], 0.55-0.75; P < 0.001), but not condomless vaginal sex acts with nonprimary partners (1.30 vs 1.04 per month; rate ratio, 0.94; 95% CI, 0.94-1.20; P = 0.62). Pregnancy incidence was lower after ART (13.2 vs 8.4 per 100 person-years; HR, 0.71; 95% CI, 0.60-0.84; P < 0.001). Incident sexually transmitted infection diagnoses were similar (odds ratio, 1.05; 95% CI, 0.86-1.29; P = 0.63). Substantial risk compensation did not occur after ART initiation among East African HIV-infected persons with known HIV-uninfected partners. These data inform modelling studies of ART for HIV prevention by suggesting that risky sexual behavior did not appear to offset decreased HIV infectiousness in this key population.",2017,01,Sexually transmitted diseases,44,1,57-61,,10.1097/OLQ.0000000000000534,27898566,#1199,Mujugira 2017,"",""
Plasma and cervical viral loads among Ugandan and Zimbabwean women during acute and early HIV-1 infection,Morrison C.S.; Demers K.; Kwok C.; Bulime S.; Rinaldi A.; Munjoma M.; Dunbar M.; Chipato T.; Byamugisha J.; Van Der Pol B.; Arts E.; Salata R.A.,"Objectives: High levels of HIV-1 viremia exist in peripheral blood during acute and early infection; however, data on HIV-1 viral loads in female genital secretions during this period are sparse. Design: Prospective cohort of 188 African women with primary HIV-1 infection. Methods: HIV-uninfected and infected women were followed quarterly; we tested serial plasma specimens by HIV PCR to estimate infection dates. We used the Loess procedure to estimate the magnitude and timing of viral setpoints in plasma and cervical secretions and generalized estimating equations (GEE) to identify predictors of plasma and cervical viral setpoints. Results: We estimated the mean HIV-1 plasma setpoint to be 4.20 log10 HIV-1 RNA copies/ml [95% confidence interval (CI) 4.04-4.35] at 121 days (95% CI 91-137) from infection; an analogous mean cervical viral setpoint was 1.64 log10 HIV-1 RNA copies/swab (95% CI 1.46-1.82) at 174 days (95% CI 145-194) from infection. Cervical loads were significantly higher (0.7-1.1 log10 copies/swab) during acute infection than subsequently. Subtype D infection, pregnancy, breastfeeding, and older age at the time of infection were associated with higher plasma viral setpoint. Subtype C infection, nonviral sexually transmitted infections, having a partner spending nights away from home, recent unprotected sex, and shorter time since infection were associated with higher cervical HIV-1 loads. Hormonal contraception was not associated with either the HIV-1 plasma setpoint or cervical loads during early infection. Conclusion: Cervical HIV-1 viral loads were highest during acute infection and then declined up to 6 months following infection, when a 'setpoint' was attained. The prognostic value of a cervical 'setpoint' on future transmission risk remains unclear. © 2010 Wolters Kluwer Health | Lippincott Williams & Wilkins.",2010,,AIDS,24,4,573-582,,10.1097/QAD.0b013e32833433df,,#3408,Morrison 2010,"",""
Acceptability and Feasibility of Integrating Point-of-Care Diagnostic Testing of Sexually Transmitted Infections into a South African Antenatal Care Program for HIV-Infected Pregnant Women.,Morikawa E.; Mudau M.; Olivier D.; de Vos L.; Joseph Davey D.; Price C.; McIntyre JA.; Peters RP.; Klausner JD.; Medina-Marino A.,"Chlamydia trachomatis (CT), Neisseria gonorrhoeae (NG), and Trichomonas vaginalis (TV) infections may increase the risk of vertical transmission of the human immunodeficiency virus (HIV). In resource-limited settings, symptomatic screening, and syndromic management of sexually transmitted infections (STIs) during pregnancy continue to be the standard of care. In the absence of diagnostic testing, asymptomatic infections in pregnant women go untreated. To describe the acceptability and feasibility of integrating diagnostic STI screening into first antenatal care visits for HIV-infected pregnant women. HIV-infected pregnant women were recruited during their first antenatal care visit from three antenatal care clinics in Tshwane District, South Africa, between June 2016 and October 2017. Self-collected vaginal swabs were used to screen for CT, NG, and TV with a diagnostic point-of-care (POC) nucleic acid amplification test. Those with STIs were provided treatment per South African national guidelines. Of 442 eligible women, 430 (97.3%) agreed to participate and were tested. Of those with a positive STI test result (n = 173; 40.2%), 159 (91.9%) received same-day results and treatment; 100% of STI-infected women were treated within seven days. Integration of POC diagnostic STI screening into first-visit antenatal care services was feasible and highly acceptable for HIV-infected pregnant women.",2018,,Infectious diseases in obstetrics and gynecology,2018,,3946862,,10.1155/2018/3946862,29861622,#1827,Morikawa 2018,"",""
Trichomonas vaginalis is associated with pelvic inflammatory disease in women infected with human immunodeficiency virus.,Moodley P.; Wilkinson D.; Connolly C.; Moodley J.; Sturm AW.,"We assessed the association between the causative agents of vaginal discharge and pelvic inflammatory disease (PID) among women attending a rural sexually transmitted disease clinic in South Africa; the role played by coinfection with human immunodeficiency virus type 1 (HIV-1) was studied. Vaginal and cervical specimens were obtained to detect Neisseria gonorrhoeae, Chlamydia trachomatis, Trichomonas vaginalis, and bacterial vaginosis. HIV-1 infection was established by use of serum antibody tests. A total of 696 women with vaginal discharge were recruited, 119 of whom had clinical PID. Patients with trichomoniasis had a significantly higher risk of PID than did women without trichomoniasis (P=.03). PID was not associated with any of the other pathogens. When the patients were stratified according to HIV-1 status, the risk of PID in HIV-1-infected patients with T. vaginalis increased significantly (P=.002); no association was found in patients without HIV-1. T. vaginalis infection of the lower genital tract is associated with a clinical diagnosis of PID in HIV-1-infected women.",2002,Feb,Clinical infectious diseases : an official publication of the Infectious Diseases Society of America,34,4,519-22,,10.1086/338399,11797180,#1392,Moodley 2002,"",""
