Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
"Neisseria gonorrhoeae among suspects of sexually transmitted infection in Gambella hospital, Ethiopia: risk factors and drug resistance",Ali S.; Sewunet T.; Sahlemariam Z.; Kibru G.,"BACKGROUND: Neisseria gonorrhoeae is a bacterium responsible for one of the classic sexually transmitted infection (STI) gonorrhea. Antibiotic resistant strains are emerging at alarming rate. Multiple sexual partners, unsafe sex and substance use habits are the main host related risk factors for acquiring the infection. Thus, this study aimed at determining the magnitude, its determinants and antimicrobial resistance profile of N. gonorrhoeae in a place where there is risk related cultural practices and relatively high HIV prevalence. METHODS: A cross-sectional study was conducted on 186 STI suspected patients seen in Gambella hospital from March to July 2015. Data on socio-demographic characteristics and associated risk factors was collected using pre-designed questionnaire. Urethral or endo-cervical swabs were collected aseptically by trained nurses. Then, samples were transported to laboratory and processed within 15 min following standard microbiological culture techniques. Antimicrobial susceptibility test was performed by using Kirby-Bauer disk diffusion method. Data entry, transforming and analysis was done using SPSS version 20. RESULTS: In this study 11.3 % of the STI suspected patients were confirmed to have N. gonorrhoeae. The rate of infection in males was four times higher than in females accounting 16.0 and 5.0 % respectively (p = 0.049). It was also higher (18.9 %) in 20-24 years age group (p = 0.439). Alcohol intake (p = 0.013), less frequent condom use (p = 0.031), and multiple sex partners (p = 0.024) were associated with increased odds of infection. All N. gonorrhoeae isolates were susceptible to ceftriaxone and cefoxitin but all were resistant to penicillin and tetracycline. Alarmingly, 28.6 % of the isolates were resistant to ciprofloxacin. CONCLUSIONS: The proportion of urogenital symptoms attributable to N. gonorrhoeae was high (11 %), with highest prevalence among males and young adults. Hence, prevention efforts should consider behavioral risk reduction. Ceftriaxone and cefoxitin can be considered as excellent first-line treatment options. However, alarming rate of resistance to ciprofloxacin challenges the current use of this antibiotic in the syndromic management package of gonococcal infections. Thus, laboratory based diagnosis and treatment system is need.",2016,,BMC research notes,9,1,439,,10.1186/s13104-016-2247-4,,#4350,Ali 2016,Exclusion reason: 6. HIV data not available or inappropriate; ,""
[HIV seroprevalence among STD patients in Nouakchott and Nouadhibou (Mauritania)].,Kebe M.; Fall-Malick FZ.; Elghady OI.; Ebnou OH.; Bara OA.; Lam M.; Beibacar MO.; Diallo MY.; Keita M.; Sy I.; Bellaty AJ.; Ly C.; Lô BB.,"This work presents the results of the behavioural and serologic survey on HIV/AIDS conducted from December 2007 to December 2008 among the group of STD (sexually transmitted disease) patients, supposed to be at HIV infection risk. In Mauritania, the last survey of HIV seroprevalence among the STD patients goes up to the year 1995 (the prevalence was estimated then to be 0.9%). The goal was to determine the seroprevalence of HIV and syphilis and to gather information on the knowledge, the sexual behaviours on a risk concerning the HIV/AIDS, and the sexually transmitted disease among these patients. The census has been made on over 224 STD patients during the period of the study, without predominance of sex and with a majority of young adults. The prevalence for HIV is 9% and for the syphilis it is 10%. Actually, the condom is widely underused by this group, even in occasional intercourse. The STD patients are a group of risk towards HIV, because of their risk behaviours and low level of knowledge.",2011,Dec,Bulletin de la Societe de pathologie exotique (1990),104,5,374-7,,10.1007/s13149-010-0098-4,21184292,#1962,Kebe 2011,Exclusion reason: 8. STI data inappropriate or missing; Jana Jarolimova (2020-09-14 03:07:46)(Select): in French; ,""
"Socio-demographic, biological and clinical profile of patients living with HIV during screening in a voluntary counselling and screening centre in a rural area of Mbanza-Ngungu, Democratic Republic of Congo, in 2006-2011",Kautako-Kiambi M.; Aloni-Ntetani M.; Pululu P.; Luyinduladio L.; Ezinga-Atshitsha F.; Lema-Landu P.; Ekila-Bothale M.,"AIDS remains a public health problem in the Democratic Republic of Congo (DRC). However, there is little information on the medical situation of the disease in rural areas. The objective of this study is to describe the HIV infection in a rural zone in the province of Bas-Congo, DRC. The medical records of patients with a diagnosis of HIV/AIDS, followed in the centre of voluntary counselling and testing (VCT) of the general hospital Nsona-Nkulu in the city of Mbanza-Ngungu, DRC, from January 2006 to June 2011, were retrospectively reviewed. Socio-demographic profile, laboratory data and mode of detection were analyzed. During this study, 167 patients were identified as HIV positive (112 females and 54 males). The majority of patients were aged between 30 and 44 years and two out of three patients were not married; 77.3% had primary schooling. Testing for HIV was performed in 78% of patients during an episode of illness. Screening for unprotected sex was a rare event (0.7%). Co-infection with tuberculosis was present in 32% of our patients while 26% had shingles and 44.5% had sexually transmitted infection. Smoking was found slightly (14%) and alcoholism was reported in 37% of patients. Weight loss greater than 10% was found in 61% of patients. Over 80% of people tested positive for HIV were in later stages (stages 3 and 4). This study demonstrates that HIV infection remains a serious public health problem in rural zone. The factors militating for the use of awareness program for preventive measures need to be urgently addressed. © 2013 Springer-Verlag France.",2013,,Bulletin de la Societe de Pathologie Exotique,106,3,180-183,,10.1007/s13149-013-0297-6,,#4176,Kautako-Kiambi 2013,Exclusion reason: 8. STI data inappropriate or missing; Jana Jarolimova (2020-09-14 03:07:38)(Select): in French; ,""
"Epidemiological aspects of genital ulcers at the STI center of the National Institute of Public Hygiene (Abidjan, Côte d'Ivoire) 2008 to 2010","Gakoué, D. Z.; Tiembré, I.","MEDLINE Abstract: Genital ulcers are among the seven syndromes of sexually transmitted infections (STIs) identified in Côte d'Ivoire. Ulcerative STIs present a public health problem because of their frequency and their role in the spread of HIV. Our objective was to investigate the epidemiological characteristics of genital ulcers observed in the STI center of the National Institute of Public Hygiene in Abidjan. This cross-sectional, descriptive and analytical study examined cases seen at the center in 2008 through 2010. We retrospectively reviewed all files of clients aged 10 and older who sought care for the first time at the STI center and received a clinical diagnosis, confirmed by the laboratory, of a STI. Overall, we selected 2488 records. Men accounted for 52.30%. The patients' average age was 32 years. The prevalence of genital ulcers was 3.90%. Genital herpes was the diagnosed mentioned most often by doctors (71.43%), followed by scabies (19.39%) and chancroids (9.18%). Male sex and multiple sexual partners appeared to be risk factors for genital ulcers at this center. Genital ulcers are infrequent. Public awareness campaigns to encourage changes in behavior must continue and intensify. In particular, they must stress control of genital herpes by well-known prevention methods: regular and correct condom use and fewer sexual partners",2017,01/01/,Aspects épidémiologiques des ulcérations génitales au dispensaire anti-vénérien de l'Institut national d'hygiène publique (INHP) d'Abidjan (Côte d'Ivoire) de 2008 à 2010.,27,1,90-94,,,,#6783,Gakoué 2017,Exclusion reason: 5. Incorrect population; Jana Jarolimova (2020-09-01 08:15:02)(Select): In French ; ,""
[Management of sexually transmitted diseases by the syndrome approach and voluntary HIV screening in a specialized dispensary in Antananarivo (Madagascar)].,Gleize L.; Randriamanga R.; Ratsimbazafy N.; Rakotonandrasana S.; Durand P.; Le Bot F.,"In 1994, Médecins du Monde opened a free health centre specialized in STD/AIDS in an ill-favored district of Antananarivo, the Malagasy capital of Madagascar. Besides the medical treatment of Sexually Transmitted Diseases (STD) and AIDS, the centre is responsible for the Information, Education and Communication activities (IEC) within and without the centre towards the residents of the 67 hectares district and the high-risk populations (prostitutes, truck-drivers and transvestites). The project aimed at both preventing the spreading of the VIH infection and reducing the incidence of STD. As the Ministry of Health directed, a syndromic method was applied since 1997 regarding STD. Results for 1998 showed the predominance of the association Neisseria gonorrhae-Chlamydiae among the consultants of both sexes. Negative results from 1,218 HIV serological tests carried out seemed confirm the low prevalence of the HIV infection in Madagascar. Yet, the percentage of positive syphilis serology among the tested consultants was lower than that mentioned in previous surveys. Finally, it appears that the syndromic method is of high interest for the countries with limited laboratory capacities.",2000,,Archives de l'Institut Pasteur de Madagascar,66,1-2,46-9,,,12463035,#1069,Gleize 2000,Exclusion reason: 4. Incorrect setting or timing; Jana Jarolimova (2020-09-14 00:53:57)(Select): Article in French; ,""
"Knowledge of HIV/AIDS, sexual behaviour and pevalence of sexually transmitted infections among female students of the University of Buea, Cameroon",Nkuo-Akenji T.; Nkwesheu A.; Nyasa R.; Tallah E.; Ndip R.; Angwafo III F.,"The study investigates the cognitive effect of knowledge and protective practices on the prevalence of HIV and some sexually transmitted infections (STIs) among female students of the University of Buea, Cameroon. A cross-sectional study involving the analysis of a questionnaire completed by 522 female students and the voluntary testing of 108 sexually active females for HIV, syphilis, Chlamydia and gonorrhoea was carried out. Knowledge of the protective effects of abstinence, condom-use and fidelity were independent of sexual practices (OR = 0.86, p = 0.611, φ = 0.22; OR = 1.26, p = 0.213, φ = 0.05; and OR 1.18, p = 0.344, φ = 0.029, respectively). The prevalence of HIV, syphilis, Chlamydia and gonorrhoea among the participants tested was 3.9%, 6.1%, 24.1% and 30.1%, respectively. We conclude that relatively high prevalence of STIs among female students of the University of Buea stems from inadequate knowledge of the major modes of STI/HIV transmission and inadequate use of preventive methods. Copyright © NISC Pty Ltd.",2007,,African Journal of AIDS Research,6,2,157-163,,10.2989/16085900709490410,,#2541,Nkuo-Akenji 2007,Exclusion reason: 5. Incorrect population; ,""
"Trichomoniasis as an indicator for existing sexually transmitted infections in women in Aba, Nigeria",Chigbu L.N.; Aluka C.; Eke R.A.,"Background: Trichomoniasis is a common clinical problem. Many young women in Aba indulge in high-risk sexual behaviours. A large number of these young women are illiterates, and are in the habit of indiscriminate use of antibacterial agents at the slightest symptoms of a lower genital tract infection. Evaluation of bacterial agents associated with lower genital tract infections is therefore met with much frustration. The diagnosis of Trichomoniasis from lower genital tract is simple and its routine screening among women attending clinics would serve as an indicator for serious sexually transmitted infections in Aba. Methods: This study was undertaken among women attending a women hospital in Aba, Abia State, Nigeria (Princess Mary Hospital, Aba). In the study, 360 women who were attending the family and antenatal clinics were selected. Also, those with gynaecological problems, obvious symptoms of lower genital tract infections and those who visited the hospital for ""well women examination"" were included in the study population. High vagial swabs collected from these women were examined microscopically by wet mount preparations and bacteriologically by cultures. Results: Out of 360 women screened for Trichomonas vaginalis through wet mount preparation, and other organisms by culture, 40 (11.1%) were positive for Trichomonas vaginalis, 6(1.7%), 48(13.3%) and 140(38.9%) were positive for Neisseria gonorrhoeae, Gadnerella vaginalis, and Candida albicans respectively. The difference in age specific distribution of Trichomoniasis was statistically significant using the chi-square (P<0.01). Conclusion: The finding of co-infections of T. vaginalis with G. vaginalis (0.6%), N. gonorrhoeae (0.6%), and C. albicans (2.8%) in this study suggests its role in predisposing the carriers to other serious sexually transmitted infections, including HIV infection. There is therefore the need for routine examination of sexually active women for the screening of Trichomonas vaginalis in order to effect increased control efforts. Also, the isolation of T. vaginalis in the genital secretions should lead to a search for other sexually transmitted organisms.",2006,,Annals of African Medicine,5,1,1-5,,,,#2963,Chigbu 2006,Exclusion reason: 6. HIV data not available or inappropriate; ,""
"Sexually transmitted infections among patients attending the General Practice Clinic, Wesley Guild Hospital, Ilesa, Nigeria",Olakolu S.S.; Abioye-Kuteyi E.A.; Oyegbade O.O.,"Background: Sexually transmitted infections (STIs) are among the most common infectious diseases in the world today. There are few reliable statistics on the true prevalence of STIs in developing countries, especially in the general practice setting, hence the need to determine the prevalence in each locality. With the scourge and pandemicity of human immunodeficiency virus (HIV) and the fact that STIs are recognised as independent risk factors for its transmission, determining the risk profiles for STIs has become paramount. The aim of this study was to describe the pattern of STIs among patients attending a Nigerian general practice (GP) clinic. Methods: This was a descriptive, cross-sectional, hospital-based study. Consenting patients were recruited serially between February and April 2006 until the sample size of 415 was reached. Subjects' genital symptoms were considered according to the four common STI syndromes according to National AIDS/STD Control Programme guidelines. Results: The age range of the subjects was 15 to 95 years (mean 45.16 years, standard deviation 18.83 years, median 44 years). The median age at coitarche was 21 years while the median age at marriage was 25 years. The prevalence rates of current, past and lifetime STI were 18.8%, 22.4% and 32% respectively. Only 28 (6.8%) study subjects had laboratory evidence of STIs at the time of study. Previous sex with a commercial sex worker, previous history of STIs, premarital sex, first intercourse before or at 21 years of age and multiple sexual partners were significantly associated with STIs. Previous history of STIs was a strong predictor of current STI in this study while premarital sex and previous sex with a commercial sex worker were strong predictors of past STI. The frequency of HIV infection among subjects with STIs was more than double that of the control and a co-infection rate of 17.9% was found. Conclusions: The findings of this study indicate a high prevalence of STIs in the study community in association with prevailing high sexual risk behaviours, hence the need for reliable control programmes targeting the latter. © SAAFP.",2011,,South African Family Practice,53,1,63-70,,10.1080/20786204.2011.10874062,,#3121,Olakolu 2011,Exclusion reason: 8. STI data inappropriate or missing; ,""
Continuing communicable disease burden in Eritrea,Mufunda J.; Nyarango P.; Kosia A.; Ogbamariam A.; Mebrahtu G.; Usman A.; Gebresillosie S.; Goitom S.; Araya E.; Andemichaell G.; Gebremichael A.,"Background and methods. A retrospective study of the national health profile of Eritreans, focusing on acute respiratory tract infection (ARTI), tuberculosis (TB), diarrhoea, sexually transmitted diseases (STDs) and HIV/AIDS, was done on data from 1998 to 2003 through a health information management system. Records were included for patients of all ages receiving outpatient and inpatient hospital services during the study period. All incidence rates were given as cases per 100 000 population. Results. The incidence of ARTI increased from 6 500 cases per annum in 1998 to 8 500 in 2003, representing a 30% increase. Diarrhoea rates remained unchanged, averaging 3 000 cases. For both ARTI and diarrhoea, rates were at least 3 times higher in children under 5 years of age than in those over 5 years of age. The incidences of TB and STDs decreased from 370 and 220 in 1998 to 170 and 80 in 2003, respectively. HIV/AIDS incidence increased from 40 in 1998 to 65 in 2003, reflecting a 60% increase. The case fatality rates (CFRs) for HIV/AIDS and TB were 12% and 2% in 1998, increasing to 14% and 3%, respectively, in 2001. The CFR for ARTI and diarrhoea remained low at 0.3%. CFRs were higher in children under 5 years than in those over 5 years for all the diseases but rates declined consistently, probably reflecting the positive impact of the introduction of the integrated management of childhood illness (IMCI). Although the incidence rate of HIV/AIDS was relatively low compared with rates for TB, ARTI and diarrhoea, the HIV/AIDS CFR was relatively high, posing a threat to the gains made in control of infectious diseases. The disease burden from TB and STDs declined over the 6-year study period, while that from ARTI and HIV/AIDS increased. Consequently the overall disease burden from communicable diseases remained unchanged over the study period.",2006,,South African Medical Journal,96,3,221-224,,,,#2909,Mufunda 2006,Exclusion reason: 8. STI data inappropriate or missing; ,""
"Associations between genital tract infections, genital tract inflammation, and cervical cytobrush HIV-1 DNA in US versus Kenyan women",Mitchell C.; Balkus J.E.; McKernan-Mullin J.; Cohn S.E.; Luque A.E.; Mwachari C.; Cohen C.R.; Coombs R.; Frenkel L.M.; Hitti J.,"Cervical shedding of HIV-1 DNA may influence HIV-1 sexual transmission. HIV-1 DNA was detected in 250 (80%) of 316 and 207 (79%) of 259 cervical cytobrush specimens from 56 US and 80 Kenyan women, respectively. Plasma HIV-1 RNA concentration was associated with increased HIV-1 DNA shedding among US and Kenyan women. Kenyan women had higher cervicovaginal concentrations of proinflammatory interleukins (IL)-1β, IL-6, IL-8, and anti-inflammatory secretory leukocyte protease inhibitor compared with US women (all P < 0.01). HIV-1 DNA shedding was associated with increased concentrations of IL-1β and IL-6 and lower secretory leukocyte protease inhibitor among US women but not Kenyan women. Copyright © 2012 by Lippincott Williams & Wilkins.",2013,,Journal of Acquired Immune Deficiency Syndromes,62,2,143-148,,10.1097/QAI.0b013e318274577d,,#3713,Mitchell 2013,Exclusion reason: 8. STI data inappropriate or missing; ,""
Incidence rate of sexually transmitted infections among HIV infected patients on long-term ART in an urban and a rural clinic in Uganda.,Okoboi S.; Castelnuovo B.; Moore DM.; Musaazi J.; Kambugu A.; Birungi J.; Nanfuka M.; Van Rie A.,"HIV immunosuppression increases susceptibility to other STIs and STIs can enhance HIV transmission, reduce CD4 cell count and increase viral load. Co-infections of HIV and STIs may thus reduce the preventive benefits of ART. Little is known about the incidence rate of STIs among long-term patients on ART. We conducted a secondary data analysis of all patients enrolled in a rural and an urban longitudinal cohort studies who initiated ART between April 2003 and July 2007 followed up to 2016. Patients were screened for STI every three months using ""a syndromic and case management approaches"". STI incidence rate, was defined as the number of new cases per population at risk over the follow-up review period. We performed a time-to-event and Kaplan Meier analysis. We used a multivariable Cox proportional hazards regression model to assess for factors associated with STI incidence. Of 1012 participants, 402 (39.8%) were urban and 610 (60.2%) rural residents. Mean age was 42.8 years (SD 8.5). The total number of follow up time was 44,304 person years. We observed STI incidence rate of 2.1 per 1000 person-years after follow-up. Rural residence (adjusted hazard ratio [aHR] 3.53, 95% CI: 1.95-6.39), younger age (aHR 2.05, 95% CI: 1.02-4.12 for 18-34 years and aHR 1.65, 95% CI: 1.00-2.72 for 35-44 years) were factors associated with higher incidence of STIs. Being male (aHR 0.51, 95% CI: 0.27-0.93) was associated with a lower incidence of STIs. We found STIs incidence rate of approximately 3 per 1000 person-years among patients on long-term (≥ 4 years) ART followed up-to 3.5 years. Rural and younger persons on ART should be routinely screened for STIs because high incidence of STIs may undo the preventative effects of ART for all.",2019,Jan,BMC public health,19,1,87,,10.1186/s12889-019-6417-x,30658611,#1712,Okoboi 2019,Exclusion reason: 8. STI data inappropriate or missing; ,""
Cervical infection with human papillomavirus (HPV) 6 or 11 in high-risk women in Burkina Faso,Low A.; Didelot-Rousseau M.-N.; Nagot N.; Ouedraougo A.; Clayton T.; Konate I.; Van De Perre P.; Segondy M.; Mayaud P.,"Background: Human papillomavirus (HPV) types 6 and 11 are known agents of genital warts but little is known about their epidemiology in Africa. Objective: To present data on the prevalence of, and risk factors for, cervical HPV 6 and 11 in high-risk women in Burkina Faso. Methods 306 women were enrolled. HIV status and CD4+ counts were determined. Among other genital samples, a cervical swab (Cervex) was collected for liquid-based cytology and HPV genotyping using MY09/MY11 and GP5+/GP6+ PCRs, and INNO-LiPA genotyping v2. Risk factors were examined using logistic regression. Results: HIV-1 seroprevalence was 40% (123/306). Cervical HPV DNA was detected in 55% (100/183) of HIV-uninfected women, 84% (78/93) of HIV-1 infected women with CD4+ T-cell counts >200 cells/ml and 97% (29/30) of HIV-1 infected women with CD4+ T-cell counts ≤200 cells/ml (ptrend<0.001). HPV 6 prevalence was 6% (18/306), HPV 11 prevalence 4% (13/306), and overall HPV 6/11 prevalence 9% (28/306), which increased with HIV infection and immunosuppression. Genital warts were associated with HPV 6 (adjusted OR=4.12, 95% CI 1.17 to 14.53) but not with HPV 11. Genital ulcerations were associated with HPV 6/11 but not with other HPV types. There was a protective effect for vaginal douching and the follicular phase of the menstrual cycle. Condom use, HIV-1 plasma viral load and sexually transmitted and other reproductive tract infections were not associated with HPV 6/11. Conclusions: Prevalence of HPV 6/11 was high in this population, with predominance of HPV 6. HPV 6/11 were found more frequently in women with genital ulcers and in those with HIV-related immunosuppression.",2010,,Sexually Transmitted Infections,86,5,342-344,,10.1136/sti.2009.041053,,#3076,Low 2010,Exclusion reason: 8. STI data inappropriate or missing; ,""
"Efficacy of Carraguard for prevention of HIV infection in women in South Africa: a randomised, double-blind, placebo-controlled trial.",Skoler-Karpoff S.; Ramjee G.; Ahmed K.; Altini L.; Plagianos MG.; Friedland B.; Govender S.; De Kock A.; Cassim N.; Palanee T.; Dozier G.; Maguire R.; Lahteenmaki P.,"Female-initiated HIV-prevention options, such as microbicides, are urgently needed. We assessed Carraguard, a carrageenan-based compound developed by the Population Council, for its efficacy and long-term safety in prevention of HIV infection in women. We undertook a randomised, placebo-controlled, double-blind trial in three South African sites in sexually-active, HIV-negative women, aged 16 years and older. 6202 participants, who were randomly assigned by a block randomisation scheme to Carraguard (n=3103) or placebo (methylcellulose [n=3099]), were instructed to use one applicator of gel plus a condom during each vaginal sex act. Participants were followed up for up to 2 years. Visits every 3 months included testing for HIV presence and pregnancy, pelvic examinations, risk reduction counselling, and treatment for curable sexually transmitted infections and symptomatic vaginal infections. The primary outcome was time to HIV seroconversion. Analysis was in the efficacy population (a subset of the intention-to-treat population, excluding participants for whom efficacy could not be assessed). This study is registered with ClinicalTrials.gov, number NCT00213083. For the primary outcome (time to HIV seroconversion) we analysed 3011 women in the Carraguard group and 2994 in the placebo group. HIV incidence was 3.3 per 100 woman-years (95% CI 2.8-3.9) in the Carraguard group (134 events) and 3.8 per 100 woman-years (95% CI 3.2-4.4) in the placebo group (151 events), with no significant difference in the distribution of time to seroconversion (p=0.30). The covariate-adjusted hazard ratio was 0.87 (95% CI 0.69-1.09). Rates of self-reported gel use (96.2% Carraguard, 95.9% placebo) and condom use (64.1% in both groups) at last sex acts were similar in both groups. On the basis of applicator testing, however, gel was estimated to have been used in only 42.1% of sex acts, on average (41.1% Carraguard, 43.1% placebo). 1420 (23%) women in the intention-to-treat population had adverse events (713 Carraguard, 707 placebo), and 95 (2%) women had adverse events that were related to gel use (48 Carraguard, 47 placebo). Serious adverse events occurred in 72 (2%) women in the Carraguard group and 78 (3%) in the placebo group, only one of which was considered possibly related to gel use (placebo group). This study did not show Carraguard's efficacy in prevention of vaginal transmission of HIV. No safety concerns were recorded.",2008,Dec,"Lancet (London, England)",372,9654,1977-87,,10.1016/S0140-6736(08)61842-5,19059048,#307,Skoler-Karpoff 2008,Exclusion reason: 3. Incorrect study design; ,""
"Decline in HIV prevalence among women of childbearing age in Moshi urban, Tanzania.",Msuya SE.; Mbizvo EM.; Stray-Pedersen B.; Uriyo J.; Sam NE.; Rusakaniko S.; Hussain A.,"The objective of this study was to describe trends over time in HIV prevalence, sexually transmitted infections (STIs) and sexual behaviour among women in Moshi urban, Tanzania. Two cross-sectional studies were conducted in 1999 and in 2002-04 among women attending three primary health-care clinics. They were interviewed and screened for HIV and STIs. There was a significant decrease in HIV prevalence (11.5-6.9%). The decline was greatest among women aged 15-24 years. Syphilis, trichomoniasis, bacterial vaginosis, genital ulcers and reported STI symptoms also decreased significantly over the three-year inter-survey period. The proportion of women reporting casual sex decreased and knowledge of STI symptoms and health-care seeking behaviour improved. Herpes simplex virus type 2, genital warts, age at sexual debut, age at first pregnancy and condom use remained unchanged. In conclusion, decline in curable STIs and casual sex partners may partly explain the observed decline in HIV seroprevalence. Both STIs and sexual behaviour should be monitored in HIV sentinel surveillance. There remains a gap between knowledge of preventive behaviour and actual preventive practices.",2007,Oct,International journal of STD & AIDS,18,10,680-7,,10.1258/095646207782193858,17945046,#1618,Msuya 2007,Exclusion reason: 7. HIV or sex data not disaggregated; ,""
"Seroprevalence of hepatitis B and C viruses among women of childbearing age in Moshi Urban, Tanzania.",Msuya SE.; Mbizvo EM.; Hussain A.; Sam NE.; Stray-Pedersen B.,"To describe the seroprevalence of hepatitis C and B viruses and their association with HIV and other sexually transmitted diseases (STDs) among women aged 15-49 years, attending primary health care clinics in Moshi urban, Tanzania. A cross-sectional study. Three primary health care clinics in Moshi, Tanzania. A total of 382 consenting women attending reproductive and child health clinics between September-December 1999. The seroprevalence of anti-HCV was 1.0%, for HBsAg 4.2% and for HIV 11.5%. HIV infection and other sexually transmitted diseases were not associated with anti-HCV or HBsAg. There was no interrelation between HCV and HBV markers. Hepatitis C Virus infection is infrequent among women in urban Tanzania. HCV and HBsAg were not more prevalent in HIV-infected women. Public preventive efforts should thus focus on hepatitis B virus immunisation.",2006,Feb,East African medical journal,83,2,91-4,,10.4314/eamj.v83i2.9394,16708880,#48,Msuya 2006,Exclusion reason: 7. HIV or sex data not disaggregated; ,""
High HIV prevalence and incidence among women in Southern Mozambique: Evidence from the MDP microbicide feasibility study.,Mocumbi S.; Gafos M.; Munguambe K.; Goodall R.; McCormack S.;  .,"The study aimed to assess the feasibility of conducting large scale HIV prevention clinical trials in Mozambique by measuring HIV prevalence and incidence among women of reproductive age. This paper describes the baseline socio-demographic characteristics of the Mozambique Microbicides Development Programme (MDP) feasibility cohort, baseline prevalence of HIV and other STIs, and HIV incidence. The Mozambique MDP feasibility study was conducted from September 2007 to August 2009 in urban Mavalane and rural Manhiça, in Southern Mozambique. Sexually active, HIV negative women aged 18 years and above were recruited to attend the study clinic every 4 weeks for a total of 40 weeks. At baseline, we collected demographic and sexual behaviour data, samples to test for sexually transmitted infections (STI) and conducted HIV rapid testing. STI and HIV testing were repeated at clinical follow-up visits. We describe HIV prevalence of women at screening, the demographic, behavioural and clinical characteristics of women at enrolment, and HIV incidence during follow-up. We screened 793 women (369 at Mavalane and 424 at Manhiça) and enrolled 505 eligible women (254 at Mavalane and 251 at Manhiça). Overall HIV prevalence at screening was 17%; 10% at Mavalane and 22% at Manhiça. Women screened at Manhiça were twice as likely as women screened at Mavalane to be HIV positive and HIV positive status was associated with younger age (18-34), lower educational level, not using a reliable method of contraception and being Zionist compared to other Christian religions. At enrolment contraceptive use was low in both clinics at 19% in Mavalane and 21% in Manhiça, as was reported condom use at last sex act at 48% in Mavalane and 25% in Manhiça. At enrolment, 8% of women tested positive for Trichomonas vaginalis, 2% for Neisseria gonorrhoeae, 4% for Chlamydia trachomatis and 46% for bacterial vaginosis. In Manhiça, 8% of women had active syphilis at screening. HIV incidence was 4.3 per 100 person years at Mavalane and 9.2 per 100 person years at Manhiça. We demonstrated the ability to recruit a cohort of women at risk of HIV who were willing to participate in clinical research. The high HIV incidence necessitates additional action around HIV prevention for women and offers opportunities to evaluate the impact of available prevention options, such as treatment as prevention and oral PrEP. The high HIV incidence and STI prevalence also offers opportunities to evaluate the added benefit of potential prevention options such as new formulations of oral PrEP, vaginal microbicides (also called topical PrEP), vaccines, and multi-purpose technologies for HIV, STIs and contraception.",2017,,PloS one,12,3,e0173243,,10.1371/journal.pone.0173243,28350843,#1812,Mocumbi 2017,Exclusion reason: 7. HIV or sex data not disaggregated; ,""
The role of in-migrants in the increasing rural HIV-1 epidemic: results from a village population survey in the Kilimanjaro region of Tanzania.,Mmbaga EJ.; Leyna GH.; Hussain A.; Mnyika KS.; Sam NE.; Klepp KI.,"To investigate the magnitude of rural in-migration and the role of in-migrants in the observed increase in HIV-1 prevalence in rural Kilimanjaro, Tanzania. A cross-sectional study involving the adult population aged 15-44 years residing in a rural village was conducted from March to May of 2005. Participants were interviewed regarding their risk behaviors and gave blood for HIV-1 and syphilis testing. Overall, the response rate was 73.0% (1528/2093). A total of 699 (48.1%) participants reported having in-migrated to the village at some point during their life. The prevalences of HIV-1 infection were 1.8%, 2.3%, and 3.7% among non-in-migrant, long-term in-migrant, and recent in-migrant men, respectively (p(trend)<0.001). The corresponding prevalences among women were 9.2%, 11.5%, and 14.5%, respectively (p(trend)=0.048). The odds of HIV-1 infection were higher among recent in-migrants as compared to non-in-migrants (men: adjusted odds ratio (AOR) 2.4, 95% CI 1.8-6.6; women: AOR 2.3, 95% CI 1.1-5.0). Risk behaviors were inversely related to years since in-migration for both sexes. The results suggest that rural in-migration is common for both men and women. In-migrants were at higher risk for HIV-1 infection and contributed significantly to increased rural HIV-1 prevalence. More studies to examine the rate and broader causes of rural in-migration in similar communities are called for. These may help in the design of intervention strategies for curbing the rising rural HIV epidemic.",2008,Sep,International journal of infectious diseases : IJID : official publication of the International Society for Infectious Diseases,12,5,519-25,,10.1016/j.ijid.2008.02.007,18468468,#974,Mmbaga 2008,Exclusion reason: 8. STI data inappropriate or missing; ,""
