ARRIVAL_DELAY,DISTANCE,SCHEDULED_TIME,MONTH,SCHED_DEP_HOUR,SCHED_ARR_HOUR,FLIGHT_COUNT,DAY_OF_WEEK,ORIGIN_AIRPORT,DESTINATION_AIRPORT
-9,216,51,4,10,11,7,3,ITO,HNL
-18,642,123,6,12,14,438,1,DFW,EVV
28,164,58,8,21,22,581,2,ATL,AVL
-3,466,95,5,7,8,4,3,LNK,ORD
15,1773,273,4,9,11,179,3,CLT,PHX
-7,628,116,11,8,8,378,3,DEN,LAS
-29,802,166,10,12,14,40,4,13930,11298
4,2677,340,8,22,6,68,3,HNL,SEA
-2,1020,165,7,7,10,164,3,MSP,LGA
-7,992,165,3,11,14,118,4,FLL,PHL
-3,599,128,1,8,9,179,3,CLT,ORD
-10,1504,228,10,7,9,8,5,10423,14771
19,214,72,6,8,10,73,1,BNA,ATL
17,1074,205,6,15,18,180,1,JFK,RSW
111,500,95,11,11,13,5,1,AEX,ATL
17,899,149,4,20,22,118,4,FLL,DCA
81,1066,160,8,20,0,52,3,MKE,MCO
76,896,152,3,17,19,52,5,MKE,DEN
-6,310,80,8,14,15,118,2,DCA,CLE
-14,601,125,8,12,13,118,6,DCA,MDW
27,733,144,12,21,23,229,1,LGA,ORD
38,631,97,3,22,23,438,5,DFW,BNA
-12,2677,350,10,12,21,1,4,12173,14747
211,2454,379,11,18,21,217,4,EWR,LAX
0,1448,204,6,18,21,182,3,SEA,ANC
-9,413,102,9,14,14,34,3,PIT,ORD
-17,2704,390,8,7,10,172,6,BOS,SFO
-27,1119,190,7,13,16,118,3,FLL,DFW
91,871,134,2,19,22,260,7,IAH,CVG
-15,405,92,9,19,21,181,6,DTW,DCA
19,360,85,10,9,11,40,1,13930,11076
15,533,99,9,21,21,581,5,ATL,BMI
40,86,56,8,12,13,60,1,SMF,SFO
51,522,112,8,16,18,578,5,ORD,XNA
-10,262,66,11,17,19,5,4,SBA,SFO
73,1709,264,1,21,23,124,6,MIA,DEN
15,967,156,10,15,16,26,3,11292,14771
-18,226,77,5,14,15,179,6,CLT,ATL
25,265,76,6,13,16,578,3,ORD,CVG
38,215,70,6,18,19,3,4,LSE,ORD
28,270,74,1,17,18,4,5,BPT,DFW
-14,733,133,8,8,12,578,3,ORD,LGA
60,293,75,1,16,17,5,5,MLU,DFW
54,2295,300,9,13,21,120,3,SAN,BWI
24,1635,225,6,12,18,240,3,SFO,IAH
-8,189,60,4,5,6,69,4,AUS,DAL
-7,516,100,8,13,13,10,6,BIS,DEN
-17,337,80,6,9,10,366,1,LAX,SFO
120,1011,155,6,20,23,214,4,MCO,BUF
223,867,125,1,18,21,578,1,ORD,BOS
33,362,75,7,20,22,90,7,OAK,ONT
-1,611,125,10,7,8,8,4,10821,13232
-33,1428,230,7,6,9,229,3,LGA,HOU
-8,228,71,3,15,15,181,2,DTW,MDW
14,255,60,7,17,18,196,7,PHX,LAS
-10,224,60,5,9,10,13,3,GEG,SEA
10,862,150,4,10,11,378,4,DEN,LAX
8,669,129,2,19,20,581,4,ATL,MKE
-15,795,135,8,9,10,9,1,MAF,LAS
-17,4962,581,9,20,12,68,6,HNL,EWR
-4,201,62,9,7,8,260,4,IAH,LFT
-7,599,110,2,20,23,240,3,SFO,SLC
11,746,156,9,17,19,217,5,EWR,ATL
-6,272,60,1,11,12,86,6,STL,BNA
-4,2116,316,11,20,22,581,1,ATL,SJC
-16,922,154,8,18,21,438,4,DFW,CAE
48,1679,217,12,23,5,378,6,DEN,PBI
71,977,175,11,14,17,578,1,ORD,AUS
128,1474,238,1,18,20,6,1,MDT,DEN
21,715,130,11,10,11,21,6,ELP,LAX
9,134,62,9,16,17,9,2,GRK,DFW
5,589,100,1,18,19,16,2,ICT,MDW
-3,239,60,4,12,13,116,3,HOU,DAL
-12,235,79,4,13,14,181,3,DTW,ORD
137,369,80,4,19,20,32,5,BUR,PHX
-12,1608,236,12,6,12,67,2,SJC,IAH
-13,621,110,2,15,16,196,7,PHX,SJC
120,925,156,5,18,21,260,4,IAH,ORD
-14,1127,179,12,16,19,118,5,FLL,DTW
-8,1269,184,2,6,11,28,7,ABQ,ATL
83,215,70,4,20,21,578,5,ORD,LSE
46,386,80,8,16,17,266,5,LAS,SJC
62,427,108,4,17,19,48,1,RDU,JFK
-5,909,156,8,7,9,378,3,DEN,SMF
30,356,85,2,16,18,581,1,ATL,RDU
18,725,155,3,6,7,229,6,LGA,MDW
17,1046,169,2,12,14,40,1,SJU,FLL
-11,692,120,9,11,14,68,2,MCI,ATL
-1,368,75,3,19,21,266,4,LAS,SLC
33,1121,197,2,19,22,124,4,MIA,DFW
-1,1179,186,2,4,6,3,5,PSE,MCO
61,414,94,6,16,18,266,6,LAS,SFO
-9,837,140,11,11,13,124,6,TPA,IND
18,738,124,2,7,10,578,4,ORD,HPN
38,239,60,5,10,11,116,4,HOU,DAL
-7,1599,211,4,12,16,581,3,ATL,STT
35,1788,290,12,7,10,124,7,TPA,PHX
26,782,136,4,15,16,581,5,ATL,ICT
27,802,147,7,14,16,438,4,DFW,ORD
15,447,94,5,16,17,581,6,ATL,CMH
35,106,50,11,19,20,581,2,ATL,CHA
179,204,67,7,18,20,124,7,TPA,MIA
61,134,51,5,16,17,9,1,GRK,DFW
25,209,61,1,17,18,366,1,LAX,FAT
241,387,80,5,17,18,13,1,LGB,SMF
117,545,112,5,14,16,164,5,MSP,ICT
-13,731,153,3,15,16,581,2,ATL,DFW
15,337,84,3,16,17,366,6,LAX,SFO
16,89,44,1,16,16,4,6,ACT,DFW
-15,377,80,11,18,20,185,5,BWI,MHT
83,802,165,5,20,23,578,7,ORD,DFW
16,197,65,7,19,20,118,4,FLL,TPA
26,181,50,7,19,20,120,1,DAL,OKC
-12,666,125,9,8,10,581,3,ATL,PHL
19,508,101,7,21,22,581,7,ATL,PHF
21,1246,205,2,17,19,120,1,DAL,LAX
144,299,77,9,21,23,578,4,ORD,DSM
-19,808,135,9,13,17,68,7,MCI,CLT
-1,937,150,10,18,20,3,4,10800,14747
-4,1346,196,8,12,18,60,4,SNA,IAH
20,1065,177,7,18,21,118,6,FLL,EWR
137,674,106,7,19,22,60,1,MSY,FLL
21,1096,195,6,17,20,229,3,LGA,MIA
15,843,150,1,12,14,40,2,SAT,PHX
-1,853,149,10,7,9,22,2,11298,13342
33,733,124,2,17,20,578,2,ORD,LGA
8,954,158,5,20,23,366,4,LAX,SEA
231,861,160,4,20,21,172,3,BOS,MDW
214,1754,235,12,23,5,378,1,DEN,BOS
-24,2615,366,9,9,12,366,6,LAX,LIH
-26,651,130,11,6,7,120,4,DAL,DEN
-2,364,78,1,13,14,438,4,DFW,SGF
16,1744,270,9,22,1,578,7,ORD,LAX
20,271,70,11,15,15,14,1,SDF,MDW
242,337,75,12,17,18,366,5,LAX,SFO
-17,2704,339,10,13,22,15,5,14771,10721
230,588,118,1,16,18,578,2,ORD,ICT
24,425,109,2,17,19,9,1,ABE,DTW
-19,261,57,5,6,6,3,1,FAI,ANC
23,967,170,12,21,22,378,3,DEN,SFO
67,812,157,4,10,12,36,5,CVG,DFW
12,500,113,8,16,18,179,1,CLT,DTW
-29,711,145,8,16,17,217,1,EWR,MDW
-6,191,64,8,11,12,260,1,IAH,SAT
113,812,164,11,19,20,36,4,CVG,DFW
51,2176,317,8,20,22,127,6,PHL,LAS
-8,1426,211,7,17,19,164,7,MSP,PDX
-5,2176,284,10,11,18,17,6,12889,14100
32,67,54,2,14,15,52,4,MKE,ORD
-7,954,165,1,13,16,266,1,LAS,BLI
216,308,70,12,10,11,67,4,SJC,LAX
20,462,103,6,10,12,578,5,ORD,FSD
-26,1212,227,2,6,9,19,1,ORF,DFW
4,409,104,11,15,17,73,1,BNA,ORD
1,1218,170,12,8,12,116,1,HOU,DCA
200,264,88,5,19,21,11,1,ROC,JFK
43,867,167,7,16,18,172,3,BOS,ORD
-11,606,124,7,13,16,578,4,ORD,ATL
-3,399,83,5,13,14,118,3,DCA,BOS
12,432,90,10,22,23,47,4,10397,12339
-10,1346,191,9,8,13,60,6,SNA,IAH
5,308,70,11,18,19,67,7,SJC,LAX
64,721,135,12,21,0,86,3,STL,AUS
-27,957,175,12,6,7,118,1,FLL,HOU
240,3711,443,6,20,8,29,1,OGG,DFW
-11,1703,230,7,11,17,378,1,DEN,FLL
-9,337,75,3,20,22,366,2,LAX,OAK
13,2288,351,2,8,11,77,3,IAD,LAX
3,1533,208,8,0,5,3,2,FAI,SEA
25,304,80,2,11,11,196,1,PHX,SAN
-9,214,69,8,19,20,581,2,ATL,SAV
24,620,113,3,20,22,581,1,ATL,MDT
16,370,86,2,19,19,196,5,PHX,LAX
15,1972,262,9,8,16,196,2,PHX,MIA
35,1416,221,1,15,17,45,7,RSW,MSP
-16,3784,459,6,17,6,68,3,HNL,DFW
5,637,123,6,6,8,9,6,SBN,EWR
30,957,158,8,18,21,214,6,MCO,DTW
1,550,110,7,13,15,67,1,PDX,SFO
-12,425,98,3,8,8,581,1,ATL,MSY
-29,1616,223,2,6,11,67,7,PDX,DFW
63,1182,187,8,21,23,118,3,FLL,ORD
41,363,87,8,21,22,29,5,ONT,SFO
-2,780,127,12,12,14,581,3,ATL,HPN
-19,198,78,3,12,14,229,3,LGA,SYR
31,224,78,4,12,13,438,3,DFW,IAH
112,425,85,7,16,18,60,3,MSY,ATL
15,746,147,9,17,20,581,4,ATL,EWR
44,323,70,11,6,7,6,1,AMA,DAL
112,372,90,2,18,19,60,5,SNA,SFO
0,382,90,10,6,8,1,3,10874,11618
-8,413,88,10,17,20,40,4,13930,14122
42,604,120,7,18,19,6,3,MOT,DEN
-4,224,55,7,16,17,182,7,SEA,GEG
134,1090,165,7,20,21,69,3,AUS,LAS
41,223,63,8,15,16,10,2,FAR,MSP
-20,802,151,9,22,0,438,2,DFW,ORD
-14,872,138,8,15,15,69,4,AUS,PHX
168,874,142,4,17,20,40,5,SAT,ATL
251,1204,175,12,19,22,124,4,TPA,MHT
19,1990,333,2,17,21,180,3,JFK,SLC
-20,259,74,4,17,18,581,5,ATL,CHS
53,937,140,6,22,0,116,5,HOU,MDW
-8,667,115,9,19,21,214,4,MCO,RIC
-5,119,58,6,8,9,196,1,PHX,FLG
15,258,70,11,17,19,120,1,SAN,LAS
18,802,159,5,17,20,578,3,ORD,DFW
-27,802,154,9,7,9,578,5,ORD,DFW
23,399,87,2,17,19,118,4,DCA,BOS
69,632,114,4,19,21,179,7,CLT,FLL
-1,600,113,1,7,9,179,6,CLT,RSW
57,337,70,7,16,17,366,1,LAX,SFO
50,1452,228,7,22,0,77,3,IAD,DEN
34,577,115,7,8,10,185,4,BWI,ATL
-5,666,125,7,7,9,581,6,ATL,PHL
22,604,95,6,21,23,86,7,STL,MSY
34,304,65,8,19,20,196,2,PHX,SAN
-22,1749,235,12,14,21,266,7,LAS,DTW
15,209,61,3,14,15,366,5,LAX,FAT
59,547,115,6,19,21,118,4,DCA,ATL
-6,252,68,6,9,11,164,1,MSP,GRB
-4,270,70,8,15,16,581,3,ATL,JAX
-6,500,99,6,7,8,4,7,ILM,LGA
58,333,70,6,20,21,67,3,SJC,ONT
-10,387,84,10,15,16,10,3,14869,10620
30,1171,160,3,17,22,120,3,SAN,DFW
-3,328,75,1,17,19,28,6,ABQ,PHX
-13,227,66,7,5,6,7,7,FSM,DFW
7,164,59,3,10,11,5,1,AVL,ATL
-33,733,168,4,17,18,229,6,LGA,ORD
15,1218,165,11,20,23,116,2,HOU,DCA
-10,1839,255,12,9,14,61,6,CLE,SJU
-19,213,67,10,8,10,40,5,13930,15295
21,319,65,5,19,20,9,1,MAF,DAL
-4,601,125,9,11,12,118,5,DCA,MDW
-13,717,130,6,14,15,19,3,ORF,ORD
15,2475,385,12,9,12,180,7,JFK,LAX
4,2588,377,5,7,10,172,4,BOS,SAN
39,2402,351,7,20,23,127,2,PHL,LAX
-5,669,122,5,8,9,581,7,ATL,MKE
8,337,84,9,18,20,366,1,LAX,OAK
6,2449,334,10,17,19,19,5,12892,12402
70,1068,181,6,11,14,45,2,RSW,EWR
19,853,140,11,14,15,378,4,DEN,SAN
-24,685,125,4,7,9,438,7,DFW,CID
39,1194,182,3,20,23,124,5,MIA,BDL
-37,1091,196,1,14,17,61,7,CLE,IAH
135,983,158,7,13,16,124,7,TPA,DTW
8,393,87,2,17,19,68,7,MCI,MSP
0,695,136,5,6,8,8,1,CHA,DFW
-52,2475,378,4,6,10,180,2,JFK,LAX
-4,935,155,8,15,16,24,2,TUL,PHX
31,719,164,4,18,19,217,3,EWR,ORD
47,404,102,3,15,17,217,1,EWR,CLE
-29,1183,166,2,6,10,60,5,MSY,LGA
-2,588,119,5,16,17,121,3,SLC,SNA
-5,460,93,8,17,19,68,6,MCI,DFW
18,1491,255,1,8,11,185,6,BWI,DEN
41,641,115,9,18,21,52,3,MKE,BWI
-7,1521,205,1,9,15,266,6,LAS,MDW
-14,929,139,10,16,19,22,2,11298,15304
26,1464,225,6,11,12,438,3,DFW,SFO
38,1121,167,3,20,23,214,7,MCO,BOS
15,896,155,3,5,7,52,3,MKE,DEN
22,546,105,12,19,21,86,1,STL,DAL
2,89,54,10,17,18,1,3,14689,12892
20,2446,372,10,9,13,16,1,12478,14679
134,2288,300,7,18,2,366,4,LAX,IAD
-21,1846,285,10,14,16,40,2,13930,14771
7,867,140,4,6,8,182,3,SEA,LAS
144,762,138,5,16,18,581,1,ATL,LGA
3,308,70,11,18,19,366,5,LAX,SJC
15,432,99,2,15,17,581,4,ATL,DAY
20,883,140,2,19,21,60,4,PBI,BWI
24,1036,160,6,6,9,12,6,FNT,TPA
36,187,68,4,22,0,180,6,JFK,BOS
40,990,170,3,22,23,214,2,MCO,MDW
34,2715,374,4,18,21,2,7,BLI,HNL
-7,601,100,8,5,7,22,2,RNO,PHX
-14,1251,182,9,6,10,68,7,MCI,MIA
45,867,142,6,19,22,578,5,ORD,BOS
28,951,147,3,19,21,60,4,PBI,PHL
-15,406,80,1,18,19,11,5,DAY,BWI
0,163,43,10,19,19,1,4,12758,12173
21,529,120,12,6,8,217,4,EWR,CLT
-10,909,150,9,17,18,378,7,DEN,SMF
119,1535,210,11,11,16,366,7,LAX,MSP
18,2248,292,1,8,16,266,4,LAS,JFK
-12,899,147,4,20,23,118,2,FLL,DCA
68,237,60,7,19,20,24,6,TUL,DAL
22,237,55,1,17,18,120,5,DAL,TUL
-8,343,79,9,7,9,578,6,ORD,CAK
-9,342,75,2,12,13,67,6,SJC,SNA
4,461,86,8,6,7,8,3,GSO,LGA
35,228,65,7,18,18,181,3,DTW,MDW
3,100,36,1,20,21,68,2,HNL,OGG
33,337,75,12,20,22,240,3,SFO,LAX
-24,1726,263,2,17,19,578,5,ORD,SNA
28,604,101,2,19,21,438,2,DFW,PNS
55,265,78,6,20,20,36,6,CVG,ORD
87,967,167,12,18,20,378,5,DEN,SFO
37,646,120,2,17,18,196,1,PHX,OAK
-2,248,60,5,18,19,40,2,SAT,DAL
-10,391,89,12,11,13,378,7,DEN,SLC
15,405,80,8,7,8,184,6,MDW,MCI
57,1771,255,7,17,18,36,4,CMH,LAS
-13,787,149,1,9,10,124,1,TPA,IAH
21,258,65,4,19,20,266,4,LAS,SAN
-27,575,101,3,12,15,3,3,MFR,SLC
254,551,100,12,11,14,21,7,ELP,DFW
9,1728,265,10,11,13,11,5,13232,14679
-21,1276,184,2,12,16,196,4,PHX,MSP
-8,468,99,9,13,15,260,7,IAH,MEM
-7,1300,210,5,17,19,60,2,MSY,PHX
33,280,76,1,19,20,127,1,PHL,BOS
37,758,125,2,16,18,214,4,MCO,IAD
-3,867,141,7,19,22,266,6,LAS,SEA
100,1012,175,6,17,19,124,5,TPA,ORD
-29,2777,381,11,21,5,68,4,HNL,ANC
25,386,81,7,17,18,10,5,BIS,MSP
98,950,177,2,13,16,229,2,LGA,MCO
17,337,88,8,20,21,366,1,LAX,SFO
-10,1091,173,5,7,11,260,4,IAH,CLE
25,977,165,6,20,21,37,1,IND,DEN
-17,1984,275,6,6,7,124,3,TPA,LAS
21,1005,175,3,18,20,214,5,MCO,ORD
23,563,110,8,11,13,229,6,LGA,MYR
117,1678,240,7,7,8,36,5,CVG,LAS
-18,2454,333,9,11,20,366,1,LAX,EWR
-7,228,64,2,10,11,164,5,MSP,MSN
-10,1235,199,8,14,18,260,5,IAH,BWI
40,1167,196,8,19,21,217,4,EWR,MSY
31,802,140,1,15,18,438,4,DFW,ORD
107,2106,260,2,16,23,266,1,LAS,BWI
-15,731,128,9,8,11,438,3,DFW,ATL
-10,94,38,10,14,15,1,5,14843,15027
62,301,98,3,16,18,180,3,JFK,BUF
22,1120,180,12,14,16,45,7,RSW,ORD
179,738,146,7,17,18,22,2,HPN,ORD
9,364,88,6,12,13,438,4,DFW,SGF
52,868,159,6,18,19,438,2,DFW,PHX
-9,731,130,6,8,11,438,2,DFW,ATL
-18,1448,230,12,6,8,182,7,SEA,ANC
-9,1448,218,11,13,16,182,4,SEA,ANC
20,441,80,10,17,18,10,1,12191,13158
42,1749,277,3,17,19,181,7,DTW,LAS
-15,918,153,8,20,23,438,7,DFW,JAX
12,237,55,6,14,15,68,4,MCI,STL
-17,1262,172,8,23,4,196,5,PHX,STL
-11,1107,159,3,11,14,124,1,MIA,STT
41,793,125,11,20,22,120,4,DAL,MDW
-8,331,84,6,11,12,164,1,MSP,LNK
188,296,65,7,16,17,120,3,DAL,LIT
-6,456,115,12,6,7,27,4,RIC,DTW
73,882,135,1,18,21,86,3,STL,MCO
-8,641,124,10,15,16,22,7,11298,11292
-14,663,120,6,8,10,185,3,BWI,JAX
9,408,94,4,6,8,22,2,JAN,DFW
-13,1521,235,10,13,14,11,3,13232,12889
18,808,143,4,19,21,179,4,CLT,MCI
-26,1184,170,3,9,13,120,3,DAL,DCA
27,483,85,7,20,22,73,3,BNA,JAX
-27,321,95,7,19,21,14,4,SDF,ATL
60,762,138,5,21,23,581,1,ATL,LGA
-1,956,154,10,18,20,4,4,13891,14747
53,1751,265,7,20,22,184,3,MDW,PDX
-13,427,92,1,6,7,48,1,RDU,JFK
4,302,60,11,12,13,116,6,HOU,MSY
-7,285,74,4,20,21,438,7,DFW,AEX
-1,232,63,9,15,16,10,7,DSM,MSP
42,1023,179,7,18,21,60,2,PBI,EWR
289,1208,187,5,15,20,260,2,IAH,DCA
-2,1205,200,12,7,8,438,4,DFW,SNA
24,1035,171,4,14,17,60,5,PBI,LGA
88,306,80,1,21,22,184,1,MDW,DSM
16,1250,184,8,18,22,121,5,SLC,ORD
183,925,165,6,17,20,260,1,IAH,ORD
-9,399,85,12,6,7,23,5,ANC,BET
34,854,142,7,19,22,260,3,IAH,MCO
1,1005,175,2,20,22,214,4,MCO,ORD
76,1183,167,2,6,10,60,2,MSY,LGA
102,479,102,7,17,19,36,5,CMH,LGA
151,456,88,6,12,14,13,3,MYR,LBE
19,1032,173,11,14,16,22,4,HPN,TPA
-21,1086,172,7,10,13,181,7,DTW,PBI
26,495,98,3,19,20,30,7,OKC,DEN
-2,2603,330,9,11,19,68,2,HNL,PDX
54,599,110,1,21,23,578,2,ORD,CLT
-3,606,125,2,9,10,581,2,ATL,ORD
-11,1504,229,8,12,14,69,5,AUS,SFO
-15,759,130,11,6,9,28,6,ABQ,HOU
-15,1849,240,11,10,16,196,1,PHX,MCO
75,937,155,7,17,20,184,3,MDW,HOU
63,925,176,4,17,20,578,2,ORD,IAH
-13,1535,237,9,17,19,164,3,MSP,LAX
103,920,150,6,21,23,124,3,TPA,PHL
-8,2355,293,9,13,21,29,6,OGG,SJC
17,591,110,5,21,0,184,2,MDW,ATL
1,783,152,10,6,8,4,4,10529,13930
125,1947,246,12,22,6,366,7,LAX,ATL
36,451,80,12,12,15,366,2,LAX,TUS
-12,337,80,10,13,15,8,2,13796,12892
-13,419,118,11,11,12,229,7,LGA,CLE
15,456,86,4,14,16,5,7,LBE,MYR
0,1990,319,4,7,10,180,3,JFK,SLC
28,1514,249,12,21,23,578,4,ORD,LAS
-1,484,103,6,22,22,581,3,ATL,STL
21,1235,214,3,17,20,185,3,BWI,IAH
-12,448,90,5,9,10,86,4,STL,MSP
-5,1096,176,4,8,11,124,6,MIA,LGA
30,820,150,6,15,18,217,7,EWR,JAX
32,335,90,3,19,20,34,2,PIT,LGA
17,469,98,6,11,12,8,3,MFE,DFW
15,2282,347,3,18,20,179,1,CLT,PDX
48,317,85,7,15,17,581,5,ATL,MYR
-25,529,124,3,7,9,19,5,ORF,DTW
22,522,113,12,10,11,22,2,BOI,SFO
-15,588,119,4,8,9,121,6,SLC,SNA
-5,651,119,6,12,13,181,4,DTW,OMA
6,110,56,1,11,12,15,2,PSP,LAX
52,481,90,5,22,23,581,3,ATL,RIC
-11,447,94,8,20,21,240,1,SFO,SAN
-2,1121,166,12,9,12,438,5,DFW,MIA
-3,1154,197,10,9,10,4,4,11066,11292
50,292,101,8,19,20,229,2,LGA,BUF
152,1024,152,7,17,21,182,4,SEA,DEN
19,1546,243,11,17,19,214,6,MCO,DEN
17,361,95,2,8,10,185,3,BWI,CLT
-8,528,99,4,8,11,164,3,MSP,DTW
15,247,79,12,8,9,116,4,HOU,DFW
-12,67,44,11,11,12,578,7,ORD,MKE
13,2504,300,2,14,21,17,6,KOA,LAX
